LISTA_SETOR,SUBSETOR,ITEM_CHECKLIST,DESC_EVEREST,EST_MIN,U.M.
COZINHA,CONGELADA,PROD LINGUICINHA DEFUMADA (KG),PROD LINGUICINHA DEFUMADA,13,KG
COZINHA,CONGELADA,PROD MINI CAKE (UNID),PROD MINI CAKE,280,UNID
COZINHA,CONGELADA,PROD MIX DE FRUTOS DO MAR (KG),PROD MIX DE FRUTOS DO MAR,8,KG
COZINHA,CONGELADA,PROD MOLHO 3 MOSTARDAS (KG),PROD MOLHO 3 MOSTARDAS,5.6,KG
COZINHA,CONGELADA,PROD MOLHO CAESAR (KG),PROD MOLHO CAESAR,6.3,KG
COZINHA,CONGELADA,PROD MOLHO CAMINITO SALADA (KG),PROD MOLHO CAMINITO SALADA,6.3,KG
COZINHA,CONGELADA,PROD MOLHO DE TOMATE RUSTICO (KG),PROD MOLHO DE TOMATE RUSTICO,40,KG
COZINHA,CONGELADA,PROD MOLHO DEMI GLACE COM MOSTARDA (KG),PROD MOLHO DEMI GLACE COM MOSTARDA,20,KG
COZINHA,CONGELADA,PROD MOLHO GYOZA (KG),PROD MOLHO GYOZA,3,KG
COZINHA,CONGELADA,PROD MOLHO JULIENNE (KG),PROD MOLHO JULIENNE,12.6,KG
COZINHA,CONGELADA,PROD MOLHO SHIMEJI (KG),PROD MOLHO SHIMEJI,13,KG
COZINHA,CONGELADA,PROD OSSOBUCO (KG),PROD OSSOBUCO,9,KG
COZINHA,CONGELADA,PROD PAO DE ALHO (UNID),PROD PAO DE ALHO,40,UNID
COZINHA,CONGELADA,PROD PAO DE LINGUICA (UNID),PROD PAO DE LINGUICA,20,UNID
COZINHA,CONGELADA,PROD PARMEGIANA (UNID),PROD PARMEGIANA,156,UNID
COZINHA,CONGELADA,PROD PARMEGIANA DE FRANGO (UNID),PROD PARMEGIANA DE FRANGO,96,UNID
COZINHA,CONGELADA,PROD PARMESAO RALADO (KG),PROD PARMESAO RALADO,11,KG
COZINHA,CONGELADA,PROD PASTEL DE PASTRAMI (UNID),PROD PASTEL DE PASTRAMI,60,UNID
COZINHA,CONGELADA,PROD PEITO PERU CORTADO (KG),PROD PEITO PERU CORTADO,4,KG
COZINHA,CONGELADA,PROD QUEIJO MUSSARELA FATIADA (KG),PROD QUEIJO MUSSARELA FATIADA,3.6,KG
COZINHA,CONGELADA,PROD ROBATA DE BROCOLIS (UNID),PROD ROBATA DE BROCOLIS,20,UNID
COZINHA,CONGELADA,PROD ROBATA DE CARNE E BACON (UNID),PROD ROBATA DE CARNE E BACON,50,UNID
COZINHA,CONGELADA,PROD ROBATA DE FRANGO (UNID),PROD ROBATA DE FRANGO,25,UNID
COZINHA,CONGELADA,PROD SALMAO POKE (KG),PROD SALMAO POKE,0,KG
COZINHA,CONGELADA,PROD SOBRECOXA MARINADA (UNID),PROD SOBRECOXA MARINADA,100,UNID
COZINHA,CONGELADA,PROD TILAPIA POKE (KG),PROD TILAPIA POKE,0,KG
COZINHA,REFRIGERADA,COG PARIS (KG),COG PARIS,1,KG
COZINHA,REFRIGERADA,COG PORTOBELO (KG),COG PORTOBELO,1,KG
COZINHA,REFRIGERADA,COG SHIMEJI (KG),COG SHIMEJI,30,KG
COZINHA,REFRIGERADA,MP CREAM CHEESE (KG),MP CREAM CHEESE,30,KG
COZINHA,REFRIGERADA,MP CREME DE LEITE FRESCO (KG),MP CREME DE LEITE FRESCO,1,KG
COZINHA,REFRIGERADA,MP MANTEIGA SEM SAL (KG),MP MANTEIGA SEM SAL,10,KG
COZINHA,REFRIGERADA,MP QUEIJO BURRATA (UNID),MP QUEIJO BURRATA,13,UNID
COZINHA,REFRIGERADA,MP QUEIJO MINAS PADRAO (KG),MP QUEIJO MINAS PADRAO,4,KG
COZINHA,REFRIGERADA,MP QUEIJO RICOTA (KG),MP QUEIJO RICOTA,1,KG
COZINHA,REFRIGERADA,PROD LEGUMES YAKISSOBA (UNID),PROD LEGUMES YAKISSOBA,40,UNID
COZINHA,REFRIGERADA,PROD MAIONESE COM PICLES (KG),PROD MAIONESE COM PICLES,7,KG
COZINHA,REFRIGERADA,PROD MAIONESE TABASCO (KG),PROD MAIONESE TABASCO,6.3,KG
COZINHA,REFRIGERADA,PROD MOLHO DOMBURI YAKISSOBA (KG),PROD MOLHO DOMBURI YAKISSOBA,10,KG
COZINHA,REFRIGERADA,PROD MOLHO SU (KG),PROD MOLHO SU,15,KG
COZINHA,REFRIGERADA,PROD PANQUECA (UNID),PROD PANQUECA,120,UNID
COZINHA,REFRIGERADA,PROD PETIT GATEAU MINI (UNID),PROD PETIT GATEAU MINI,120,UNID
COZINHA,REFRIGERADA,PROD PICLES CEBOLA (KG),PROD PICLES CEBOLA,7,KG
COZINHA,REFRIGERADA,PROD PUDIM DOCE DE LEITE (UNID),PROD PUDIM DOCE DE LEITE,34,UNID
COZINHA,REFRIGERADA,PROD PURE DE DUAS BATATAS (KG),PROD PURE DE DUAS BATATAS,14,KG
COZINHA,REFRIGERADA,PROD SUNOMONO (KG),PROD SUNOMONO,16.8,KG
COZINHA,SECOS,MP SAL ROSA GROSSO (KG),MP SAL ROSA GROSSO,10,KG
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV BOBINA TERMICA CAIXA (UNID),APV BOBINA TERMICA CAIXA,1,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV CLIP HASHI PACOTE (UNID),APV CLIP HASHI PACOTE,1,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV COPACK TAG PARRILLA 100UND (UNID),APV COPACK TAG PARRILLA 100UND,1,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV COPO DESCARTAVEL PACOTE (UNID),APV COPO DESCARTAVEL PACOTE,2,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV ETIQUETA SUFLEX (UNID),APV ETIQUETA SUFLEX,2,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV FILME PVC (UNID),APV FILME PVC,2,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV HASHI CAIXA (UNID),APV HASHI CAIXA,1,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV LACRE DE SEGURANCA (UNID),APV LACRE DE SEGURANCA,1,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV PARAFINA KG (KG),APV PARAFINA KG,1,KG
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV PAVIO PACOTE (UNID),APV PAVIO PACOTE,1,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV PIMENTA MENDES UND (UNID),APV PIMENTA MENDES UND,5,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV RIBBON SUFLEX (UNID),APV RIBBON SUFLEX,1,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,APV VELA ANIVERSARIO PACOTE (UNID),APV VELA ANIVERSARIO PACOTE,2,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB ALUMINIO 250ML (UNID),EMB ALUMINIO 250ML,120,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB COPACK CHORIPAN (UNID),EMB COPACK CHORIPAN,120,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB COPACK DOMBURI (UNID),EMB COPACK DOMBURI,500,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB COPACK EXECUTIVO (UNID),EMB COPACK EXECUTIVO,500,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB COPACK FAMILIA 500ML (UNID),EMB COPACK FAMILIA 500ML,500,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB COPACK HAMBURGUER (UNID),EMB COPACK HAMBURGUER,500,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB COPACK NAZO G (UNID),EMB COPACK NAZO G,100,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB COPACK NAZO M (UNID),EMB COPACK NAZO M,120,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB COPACK NAZO P (UNID),EMB COPACK NAZO P,300,UNID
DELIVERY,MATERIAIS DE PRIMEIRO USO,EMB COPACK TOTTI (UNID),EMB COPACK TOTTI,250,UNID
